Well	Compound	Description	KEGG ID	CAS ID
A01	Negative Control	Nutritional supplement, Negative control		CAS Negative Control
A02	Positive Control	Nutritional supplement, Positive control		CAS Luria Broth
A03	L-Alanine	Nutritional supplement	C00041	CAS 56-41-7
A04	L-Arginine	Nutritional supplement	C00062	CAS 1119-34-2
A05	L-Asparagine	Nutritional supplement	C00152	CAS 70-47-3
A06	L-Aspartic acid	Nutritional supplement	C00049	CAS 3792-50-5
A07	L-Cysteine	Nutritional supplement	C00097	CAS 7048-04-6
A08	L-Glutamic acid	Nutritional supplement	C00025	CAS 6106-04-3
A09	Adenosine 3`,5`-Cyclic Monophosphate	Nutritional supplement	C00575	CAS 37839-81-9
A10	Adenine	Nutritional supplement	C00147	CAS 6055-72-7
A11	Adenosine	Nutritional supplement	C00212	CAS 58-61-7
A12	2`-Deoxyadenosine	Nutritional supplement	C00559	CAS 16373-93-6
B01	L-Glutamine	Nutritional supplement	C00064	CAS 56-85-9
B02	Glycine	Nutritional supplement	C00037	CAS 56-40-6
B03	L-Histidine	Nutritional supplement	C00135	CAS 5934-29-2
B04	L-Isoleucine	Nutritional supplement	C00407	CAS 73-32-5
B05	L-Leucine	Nutritional supplement	C00123	CAS 61-90-5
B06	L-Lysine	Nutritional supplement	C00047	CAS 657-27-2
B07	L-Methionine	Nutritional supplement	C00073	CAS 63-68-3
B08	L-Phenylalanine	Nutritional supplement	C00079	CAS 63-91-2
B09	Guanosine 3`,5`-Cyclic Monophosphate	Nutritional supplement	C00942	CAS 40732-48-7
B10	Guanine	Nutritional supplement	C00242	CAS 10333-92-3
B11	Guanosine	Nutritional supplement	C00387	CAS 118-00-3
B12	2`-Deoxyguanosine	Nutritional supplement	C00330	CAS 961-07-9
C01	L-Proline	Nutritional supplement	C00148	CAS 147-85-3
C02	L-Serine	Nutritional supplement	C00065	CAS 56-45-1
C03	L-Threonine	Nutritional supplement	C00188	CAS 72-19-5
C04	L-Tryptophan	Nutritional supplement	C00078	CAS 73-22-3
C05	L-Tyrosine	Nutritional supplement	C00082	CAS 60-18-4
C06	L-Valine	Nutritional supplement	C00183	CAS 72-18-4
C07	L-Isoleucine + L-Valine	Nutritional supplement	C00407	CAS 73-32-5
C08	Hydroxy-L-Proline	Nutritional supplement	C01015	CAS 51-35-4
C09	(5) 4-Amino-Imidazole-4(5)-Carboxamide	Nutritional supplement	C04051	CAS 72-40-2
C10	Hypoxanthine	Nutritional supplement	C00262	CAS 68-94-0
C11	Inosine	Nutritional supplement	C00294	CAS 58-63-9
C12	2`-Deoxyinosine	Nutritional supplement	C05512	CAS 890-38-0
D01	L-Ornithine	Nutritional supplement	C00077	CAS 3184-13-2
